Institution,Institution_Country,Institution_State,Institution_Region_Census,Institution_Division_Census,Region (https://www.aamc.org/career-development/affinity-groups/gsa/member-schools-region#negsa)
Arizona State University,USA,Arizona,4 - WEST,8 - MOUNTAIN,
University of Arkansas College of Medicine,USA,Arkansas,3 - SOUTH,7 - WEST SOUTH CENTRAL,
SAN DIEGO STATE UNIVERSITY,USA,California,4 - WEST,9 - PACIFIC,
Stanford University School of Medicine,USA,California,4 - WEST,9 - PACIFIC,
University of California at San Francisco Sch of M,USA,California,4 - WEST,9 - PACIFIC,
Armed Forces Medical College,India,NA,NA,NA,NA
College of Osteopathic Medicine of the Pacific,USA,California,4 - WEST,9 - PACIFIC,
Touro University College of Osteopathic Medicine,USA,California,4 - WEST,9 - PACIFIC,
Keck School of Medicine (Univ. of Southern Calif.),USA,California,4 - WEST,9 - PACIFIC,
University of California at San Diego Sch of Med,USA,California,4 - WEST,9 - PACIFIC,
Azusa Pacific University,USA,California,4 - WEST,9 - PACIFIC,
Loma Linda University School of Medicine,USA,California,4 - WEST,9 - PACIFIC,
University of Southern California School of Med,USA,California,4 - WEST,9 - PACIFIC,
UNIVERSITY OF SAN DIEGO CALIF,USA,California,4 - WEST,9 - PACIFIC,
MARMARA UNIVERSITY SCHOOL OF MEDICINE,Turkey,NA,NA,NA,NA
McGill University Faculty of Medicine,Canada,Quebec,NA,NA,NA
University of Colorado School of Medicine,USA,Colorado,4 - WEST,8 - MOUNTAIN,
University of Northern Colorado,USA,Colorado,4 - WEST,8 - MOUNTAIN,
University of Colorado,USA,Colorado,4 - WEST,8 - MOUNTAIN,
Regis University,USA,Colorado,4 - WEST,8 - MOUNTAIN,
YALE UNIVERSITY,USA,Connecticut,1 - NORTHEAST,1 - NEW ENGLAND,
NAUGATUCK VALLEY COMMUNITY COLLEGE,USA,Connecticut,1 - NORTHEAST,1 - NEW ENGLAND,
University of Connecticut School of Medicine,USA,Connecticut,1 - NORTHEAST,1 - NEW ENGLAND,
University of Rome,Italy,NA,NA,NA,NA
Universidad Dr Jose Matias Delgado,El Salvador,NA,NA,NA,NA
Quinnipiac College,USA,Connecticut,1 - NORTHEAST,1 - NEW ENGLAND,
Yale School of Nursing,USA,Connecticut,1 - NORTHEAST,1 - NEW ENGLAND,
Yale University School of Medicine,USA,Connecticut,1 - NORTHEAST,1 - NEW ENGLAND,
Fairfield University,USA,Connecticut,1 - NORTHEAST,1 - NEW ENGLAND,
University of Connecticut,USA,Connecticut,1 - NORTHEAST,1 - NEW ENGLAND,
YALE UNIVERSITY SCH OF NURSING,USA,Connecticut,1 - NORTHEAST,1 - NEW ENGLAND,
Quinnipiac University,USA,Connecticut,1 - NORTHEAST,1 - NEW ENGLAND,
Western Connecticut State University,USA,Connecticut,1 - NORTHEAST,1 - NEW ENGLAND,
St. Georges University School of Medicine,Grenada,NA,NA,NA,NA
Quinnipac College,USA,Connecticut,1 - NORTHEAST,1 - NEW ENGLAND,
Albert Szent Gyorgyi Medical University,Hungary,NA,NA,NA,NA
Three Rivers Community College,USA,Connecticut,1 - NORTHEAST,1 - NEW ENGLAND,
Sacred Heart University,USA,Connecticut,1 - NORTHEAST,1 - NEW ENGLAND,
George Washington University School of Medicine,USA,District of Columbia,3 - SOUTH,5 - SOUTH ATLANTIC,
GEORGETOWN UNIVERSITY,USA,District of Columbia,3 - SOUTH,5 - SOUTH ATLANTIC,
Georgetown University School of Medicine,USA,District of Columbia,3 - SOUTH,5 - SOUTH ATLANTIC,
Howard University College of Medicine,USA,District of Columbia,3 - SOUTH,5 - SOUTH ATLANTIC,
George Washington University,USA,District of Columbia,3 - SOUTH,5 - SOUTH ATLANTIC,
The Catholic University of America,USA,District of Columbia,3 - SOUTH,5 - SOUTH ATLANTIC,
Maulana Azad Medical College,India,NA,NA,NA,NA
Catholic University of America,USA,District of Columbia,3 - SOUTH,5 - SOUTH ATLANTIC,
Valencia Community College,USA,Florida,3 - SOUTH,5 - SOUTH ATLANTIC,
Nova Southeastern Univ. College of Osteopathic Med,USA,Florida,3 - SOUTH,5 - SOUTH ATLANTIC,
University of Florida College of Medicine,USA,Florida,3 - SOUTH,5 - SOUTH ATLANTIC,
Pensacola Junior College,USA,Florida,3 - SOUTH,5 - SOUTH ATLANTIC,
University of South Florida College of Medicine,USA,Florida,3 - SOUTH,5 - SOUTH ATLANTIC,
Aga Khan University Medical College,Pakistan,NA,NA,NA,NA
University of Miami School of Medicine,USA,Florida,3 - SOUTH,5 - SOUTH ATLANTIC,
University of Florida,USA,Florida,3 - SOUTH,5 - SOUTH ATLANTIC,
FIU Herbert Wertheim College of Medicine,USA,Florida,3 - SOUTH,5 - SOUTH ATLANTIC,
Florida International University,USA,Florida,3 - SOUTH,5 - SOUTH ATLANTIC,
University of Tampa,USA,Florida,3 - SOUTH,5 - SOUTH ATLANTIC,
Miami Dade College,USA,Florida,3 - SOUTH,5 - SOUTH ATLANTIC,
Barry University,USA,Florida,3 - SOUTH,5 - SOUTH ATLANTIC,
Florida State University,USA,Florida,3 - SOUTH,5 - SOUTH ATLANTIC,
State College of Florida,USA,Florida,3 - SOUTH,5 - SOUTH ATLANTIC,
Palm Beach Community College,USA,Florida,3 - SOUTH,5 - SOUTH ATLANTIC,
University of Bologna,Italy,NA,NA,NA,NA
Emory University School of Medicine,USA,Georgia,3 - SOUTH,5 - SOUTH ATLANTIC,
Emory University,USA,Georgia,3 - SOUTH,5 - SOUTH ATLANTIC,
Gwinnett Technical College,USA,Georgia,3 - SOUTH,5 - SOUTH ATLANTIC,
Allama Iqbal Medical College,Pakistan,NA,NA,NA,NA
Medical College of Georgia School of Medicine,USA,Georgia,3 - SOUTH,5 - SOUTH ATLANTIC,
North Idaho College,USA,Idaho,4 - WEST,8 - MOUNTAIN,
University of Chicago Pritzker School of Medicine,USA,Illinois,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Rosalind Franklin University of Medicine/Science,USA,Illinois,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Northwestern University Medical School,USA,Illinois,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Rush Medical College,USA,Illinois,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Loyola Univ. of Chicago Stritch School of Medicine,USA,Illinois,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Finch Univ. of Health Sciences (Chicago Med. Sch.),USA,Illinois,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Faculty of Medicine Comenius,Slovakia,NA,NA,NA,NA
Chicago College of Osteopathic Med (Midwestern U.),USA,Illinois,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Midwestern University,USA,Illinois,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
University of Illinois College of Medicine,USA,Illinois,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Kishwaukee College,USA,Illinois,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Lutheran Hospital,USA,Indiana,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Gandhi Medical College at Basheerbagh,India,NA,NA,NA,NA
Valparaiso University,USA,Indiana,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
Ivy Technical State College,USA,Indiana,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
University of Saint Francis,USA,Indiana,2 - MIDWEST,3 - EAST NORTH CENTRAL ,
College of Osteopathic Medicine (Des Moines Univ.),USA,Iowa,2 - MIDWEST,4 - WEST NORTH CENTRAL,
